Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
46147.05,6.62,7.61,4.43,27161.13,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
70421.48,6.91,7.63,4.44,43183.93,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614.42,5.50,7.44,6.32,26888.58,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66394.87,7.07,7.20,3.18,39741.08,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946.85,4.86,7.54,6.35,35261.13,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69144.75,7.30,5.93,3.22,19030.62,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
77278.70,6.24,6.92,2.13,21725.95,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
86754.20,6.60,6.25,4.02,43017.44,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
74399.84,6.38,7.25,6.36,41084.66,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408.20,5.83,5.83,3.32,26881.13,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
62279.79,6.11,6.31,4.12,35263.65,1054770.981,"173 Mendoza Land
West John, NJ 57690"
73078.20,5.92,6.45,3.32,54915.96,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
72942.71,4.79,7.32,6.41,24377.91,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63819.62,5.95,8.02,4.09,27825.57,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265.45,8.31,7.43,3.24,21030.97,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488.13,6.12,7.18,5.08,18267.95,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55193.86,7.19,5.10,4.01,32537.82,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77434.69,6.31,5.22,3.06,36252.34,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
66158.88,4.48,6.91,2.28,37098.74,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60502.91,7.53,5.73,4.23,33579.63,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60910.89,5.64,7.33,4.20,43347.80,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
73931.98,6.39,4.58,4.32,36543.07,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59539.95,6.02,7.01,5.43,58600.83,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
56547.51,5.44,6.52,3.13,37585.27,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950.35,5.48,6.72,3.28,40110.85,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
74533.16,6.68,5.92,4.00,49481.57,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66422.92,7.12,7.08,6.36,31019.32,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334.49,5.42,6.26,4.12,41640.44,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538.35,4.76,7.17,3.27,43282.18,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953.10,7.39,6.90,3.08,37283.36,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
57279.06,5.12,6.56,3.17,44023.79,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
56553.55,5.69,7.02,3.15,29682.41,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
75795.58,5.79,7.33,6.25,33197.78,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70848.79,5.28,6.77,3.27,40458.74,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
59787.40,5.65,6.59,3.43,32402.11,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826.37,4.01,8.29,4.38,60286.04,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
65925.85,7.61,7.07,3.28,34171.36,1597655.258,"253 Golden Island
East Donald, CT 91882"
64419.25,6.95,8.52,6.16,39318.17,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544.46,8.56,7.28,4.28,30865.59,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68791.79,4.73,6.70,4.11,48423.32,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82061.57,4.18,5.96,4.10,36271.41,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80659.53,5.44,7.10,6.24,52947.04,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668.09,6.18,7.86,3.35,47075.21,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
64721.56,5.68,6.97,4.48,36115.82,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
65199.99,6.45,6.94,3.20,28366.04,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74579.99,4.64,5.52,3.07,42806.15,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
76273.67,7.88,4.50,3.39,46974.58,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
67561.94,5.25,7.66,4.04,35517.54,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48904.98,4.84,5.45,3.38,32960.75,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72145.97,6.40,8.26,6.06,28882.90,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70805.61,4.44,5.81,3.30,29268.83,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383.34,7.51,6.64,3.46,35114.40,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450.29,6.60,6.85,3.33,39388.52,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
73698.70,6.37,6.58,4.33,51815.10,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66263.91,6.37,6.74,4.41,49829.95,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
75394.76,6.93,7.83,4.48,22268.08,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65984.75,6.51,6.32,2.38,21867.48,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477.26,6.98,6.04,2.37,32458.99,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
69284.26,5.35,7.17,3.45,40282.72,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404.50,5.54,6.00,2.02,37127.93,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218.49,8.07,6.51,4.37,46770.66,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63441.71,6.47,7.06,3.22,48061.75,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
57493.92,6.89,6.73,4.41,47039.22,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81543.78,5.50,5.90,2.14,9816.30,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
78633.97,5.47,7.53,3.24,43728.80,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52202.85,4.87,4.41,2.23,42165.81,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980.39,5.56,6.16,2.44,25909.08,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568.45,5.48,6.29,2.29,41016.65,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55472.65,4.82,5.86,3.20,15353.96,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579.23,5.97,7.75,6.32,21762.95,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
61456.15,6.88,6.42,4.19,30821.41,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815.39,7.17,7.98,4.11,31233.65,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217.18,5.38,8.78,3.41,47089.48,1175504.486,"USS Harrington
FPO AE 12326"
63027.67,4.86,5.58,2.30,35991.72,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62484.86,6.50,7.32,5.13,26882.65,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923.47,7.01,7.14,6.04,58745.31,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
79737.61,7.32,6.61,2.17,28307.31,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
63890.47,4.97,7.92,5.49,43416.50,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310.04,7.19,7.76,5.28,43310.61,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73145.73,4.10,7.25,3.18,49463.38,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
86924.36,6.83,7.74,6.32,28719.41,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384.11,7.41,5.16,2.30,17117.44,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67477.79,6.62,7.92,5.10,29763.93,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71202.96,4.32,6.63,4.37,34207.40,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845.32,6.74,9.47,3.46,46477.68,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72138.87,7.16,8.49,5.45,35799.64,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
44806.01,4.49,4.73,3.10,57390.89,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504.18,5.33,5.89,4.36,37441.12,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706.10,5.00,5.66,2.05,39680.61,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
68898.35,6.79,7.87,6.39,39515.57,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
58118.02,8.14,5.65,4.36,35598.39,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643.28,6.07,5.38,4.45,35512.26,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67769.83,8.07,6.76,4.22,33254.60,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411.06,5.53,7.21,6.44,43537.50,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101.08,4.10,8.92,4.35,29497.97,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708.42,5.08,6.26,4.07,15969.93,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876.06,7.08,7.19,3.37,38052.88,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343.15,6.39,8.43,6.20,40653.87,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
73064.98,5.99,7.20,6.19,30699.34,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367.27,6.77,6.69,2.49,32547.27,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547.18,6.35,5.31,2.04,16741.96,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
73313.55,6.41,8.49,4.46,37809.00,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
47681.36,6.89,7.79,5.13,50908.98,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
67910.95,6.45,6.68,4.32,31379.78,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69277.89,6.14,7.81,5.15,43717.91,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67946.71,5.40,5.67,3.21,35197.94,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975.11,4.74,8.32,6.45,44426.21,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61885.55,5.41,6.91,3.22,48726.95,1352135.967,"USCGC Hess
FPO AE 29193"
69401.85,7.04,8.10,3.44,29293.07,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
72969.12,6.19,8.08,4.20,31755.72,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582.46,5.51,6.77,4.33,31946.30,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241.23,5.62,6.82,2.18,32745.37,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79412.84,6.09,7.48,3.26,17568.73,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618.24,4.57,6.67,3.49,29636.51,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
67019.07,6.49,7.33,6.26,24997.11,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
56063.48,5.11,5.39,4.14,39129.30,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
57077.58,5.78,6.95,4.27,33393.92,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75954.82,4.29,7.42,5.04,34467.76,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52575.82,7.13,7.17,4.06,41828.58,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63312.81,6.14,8.20,4.41,43230.35,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
82526.96,6.45,7.75,4.46,43947.68,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73204.94,6.64,7.31,6.40,35090.50,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357.19,5.71,5.24,3.25,38062.00,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71316.62,7.11,7.09,5.33,21651.70,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75046.85,4.98,8.88,3.00,32468.03,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
84474.16,6.97,5.94,2.47,38677.82,1739893.555,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68162.68,6.96,6.70,3.07,31843.88,1213382.223,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784.33,7.57,4.65,3.31,35122.39,1007478.748,"6660 Alex Park
Barkerfort, WY 52781"
67009.82,6.85,7.61,3.22,39737.12,1528756.126,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437.25,6.77,6.70,2.05,29356.22,1182459.772,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65967.77,6.85,7.78,3.14,35799.96,1474546.762,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816.31,7.60,7.05,4.18,47457.66,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83347.67,5.47,5.48,3.14,48226.72,1453381.624,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81699.88,5.48,6.48,4.41,39527.05,1495012.965,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56143.79,4.58,6.67,4.04,45084.04,714148.4148,"0606 Ricardo Drive
Williamton, GU 79243"
59513.83,4.89,5.57,3.18,44162.28,894292.0474,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379.41,5.99,5.68,3.20,31357.39,1159841.831,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877.38,6.77,7.21,5.07,36033.43,1195986.299,"PSC 5171, Box 6452
APO AA 44610-4655"
61526.97,6.59,9.18,6.11,27307.95,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65317.00,7.41,6.73,2.00,55799.50,1534889.853,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76268.82,6.94,6.15,3.17,38649.85,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531.36,6.86,8.52,5.30,39731.15,1356146.261,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82906.65,5.90,5.77,4.26,38820.48,1454943.074,"PSC 5599, Box 5942
APO AP 55563-1953"
63117.84,4.94,5.64,2.31,43091.85,774118.1878,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75860.86,3.69,4.79,3.48,41003.88,889113.2389,"019 Moore Center Apt. 643
West John, KY 54923"
68844.76,4.86,6.92,3.29,48392.50,1211102.211,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446.27,5.69,7.43,3.11,32934.55,658646.1847,"20185 Mary Crest
South Reneeville, VI 91892"
69342.71,5.80,7.81,3.36,37082.37,1400104.871,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932.05,7.22,6.02,4.00,42488.31,1262017.792,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53306.92,4.63,6.19,2.15,39063.34,553077.2126,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56976.55,6.06,7.26,3.08,46375.50,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296.49,6.16,7.83,6.18,32078.91,1115323.015,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995.00,7.60,7.09,5.25,24748.27,1301881.417,"USCGC Friedman
FPO AE 57606-0743"
71915.15,6.28,5.52,4.47,27714.29,1006687.387,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62137.60,5.44,7.24,5.21,19045.62,749383.0726,"014 Shaun Gardens
Lake Todd, HI 08110"
78050.97,5.23,6.29,4.15,27789.75,1075596.587,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371.42,5.33,6.62,4.37,24797.76,739870.7936,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59362.77,7.48,8.00,3.49,44723.35,1442945.145,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003.11,7.01,6.36,3.14,29594.69,828497.0671,"089 Jessica Dale
West Melissa, PW 59364"
68989.31,6.08,7.88,6.37,32629.60,1373290.861,"USNS Hamilton
FPO AA 90003"
70969.90,4.90,6.40,3.18,24833.65,925566.3313,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82251.65,7.74,7.64,6.49,18408.80,1552536.764,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306.46,5.77,6.69,2.04,43284.40,1335904.501,"3890 Hunt Trail
Davidhaven, OR 04793"
70921.57,5.67,6.38,3.28,29390.22,960808.2911,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739.46,6.71,7.17,6.28,35148.67,1405933.019,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58097.84,6.39,6.14,3.04,19903.00,619087.6936,"31995 Moore Brook
New Melissa, MO 19787"
51273.51,7.03,6.89,2.09,53811.89,1329273.228,"Unit 5683 Box 5483
DPO AA 78774-2982"
76326.59,5.02,4.94,3.44,42779.83,1261843.844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584.05,5.83,6.03,4.29,46340.19,1175781.418,"73601 Donaldson Squares
Port John, VI 73473"
86340.29,4.93,6.18,3.01,35630.56,1437053.557,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471.24,5.87,8.20,6.21,36616.17,1594415.226,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55879.50,6.41,5.37,2.07,37360.06,931357.9954,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40503.54,6.88,6.57,3.14,45979.48,798639.6542,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394.41,5.60,5.91,2.08,30487.52,1451739.625,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501.23,6.00,7.29,5.33,43869.31,1278991.689,"8173 Rush Wells
New Stephanie, MS 56356"
59569.54,6.28,7.33,4.24,31294.65,885920.5532,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280.32,6.86,6.92,4.33,40290.91,1425632.542,"077 Laura Curve
New Christopherview, AZ 15138"
66342.49,5.86,6.95,3.06,11792.82,901881.7427,"5342 Dean Overpass
Matthewville, MI 08613"
73367.05,6.17,9.05,5.25,23684.79,1521730.791,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122.22,5.71,5.93,2.40,41972.77,716771.0057,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61978.85,7.91,8.44,5.37,56957.19,1696717.107,"017 Bowers Field
Williamsstad, OK 15934-8122"
54299.97,6.64,6.85,2.49,39512.66,819598.0078,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424.41,5.60,8.52,3.49,37242.56,1584213.957,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353.15,8.08,5.68,4.44,16906.42,798892.515,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731.11,4.19,8.94,5.12,39633.47,601973.0017,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175.49,4.52,9.52,4.28,30760.99,1456486.293,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66574.71,5.55,6.84,2.17,69575.45,1702406.039,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731.15,5.18,7.94,6.30,33102.10,1566471.008,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487.03,6.45,7.74,4.02,41105.39,1592210.176,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088.44,6.02,5.79,4.21,51925.41,937628.3467,"Unit 5584 Box 2763
DPO AE 40544"
76319.22,6.87,6.29,3.45,48026.31,1558547.578,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575.16,5.91,6.96,2.29,32158.97,1156329.274,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607.13,7.08,7.83,3.35,34609.04,1514349.692,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67056.84,5.22,7.16,5.25,25134.68,1039107.326,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60640.93,5.17,5.36,2.32,43119.54,809089.6719,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69031.91,5.78,5.50,3.23,15660.40,675536.3915,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356.21,4.66,9.71,5.02,16215.42,1373589.804,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081.18,6.77,8.20,4.30,60195.75,1690091.019,"Unit 6269 Box 9041
DPO AE 13073"
61881.48,6.52,7.11,5.38,35597.37,1253370.149,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59590.97,6.89,5.74,2.03,24153.88,774073.5619,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831.32,5.20,7.72,6.37,45335.36,1741959.834,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175.28,7.42,6.83,2.09,50305.80,1705762.788,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
